dataset,model,method,method_id,direction,N,variation,s2,trough_uv,s7
lit,wav2vec2-medium,method_55,55,regular,5,3,True,-0.56564,False
lit,wav2vec2-medium,method_55,55,regular,5,4,True,-0.97431,True
lit,wav2vec2-medium,method_55,55,regular,5,5,True,-0.91408,True
lit,wav2vec2-medium,method_55,55,regular,7,1,True,-0.57527,False
lit,wav2vec2-medium,method_55,55,regular,7,2,True,-0.90531,True
lit,wav2vec2-medium,method_55,55,regular,7,3,True,-0.29978,False
lit,wav2vec2-medium,method_55,55,regular,7,4,True,-0.48225,False
lit,wav2vec2-medium,method_55,55,regular,7,5,True,-0.94496,True
lit,wav2vec2-medium,method_55_counter,55,counter,3,1,True,-1.93599,True
lit,wav2vec2-medium,method_55_counter,55,counter,3,2,True,-1.57198,True
lit,wav2vec2-medium,method_55_counter,55,counter,3,3,True,-2.21065,True
lit,wav2vec2-medium,method_55_counter,55,counter,3,4,True,-1.73888,True
lit,wav2vec2-medium,method_55_counter,55,counter,3,5,True,-2.31387,True
lit,wav2vec2-medium,method_55_counter,55,counter,5,1,True,-2.26389,True
lit,wav2vec2-medium,method_55_counter,55,counter,5,2,True,-2.23631,True
lit,wav2vec2-medium,method_55_counter,55,counter,5,3,True,-1.50208,True
lit,wav2vec2-medium,method_55_counter,55,counter,5,4,True,-2.26389,True
lit,wav2vec2-medium,method_55_counter,55,counter,5,5,True,-2.35079,True
lit,wav2vec2-medium,method_55_counter,55,counter,7,1,True,-1.49395,True
lit,wav2vec2-medium,method_55_counter,55,counter,7,2,True,-2.34062,True
lit,wav2vec2-medium,method_55_counter,55,counter,7,3,True,-1.98117,True
lit,wav2vec2-medium,method_55_counter,55,counter,7,4,True,-2.22467,True
lit,wav2vec2-medium,method_55_counter,55,counter,7,5,True,-2.26569,True
lit,wav2vec2-medium,method_60,60,regular,3,1,True,-1.41368,True
lit,wav2vec2-medium,method_60,60,regular,3,2,True,-1.00062,True
lit,wav2vec2-medium,method_60,60,regular,3,3,True,-1.1947,True
lit,wav2vec2-medium,method_60,60,regular,3,4,True,-1.01451,True
lit,wav2vec2-medium,method_60,60,regular,3,5,True,-1.08123,True
lit,wav2vec2-medium,method_60,60,regular,5,1,True,-1.10691,True
lit,wav2vec2-medium,method_60,60,regular,5,2,True,-0.97484,True
lit,wav2vec2-medium,method_60,60,regular,5,3,True,-0.78315,True
lit,wav2vec2-medium,method_60,60,regular,5,4,True,-0.89404,True
lit,wav2vec2-medium,method_60,60,regular,5,5,True,-1.18227,True
lit,wav2vec2-medium,method_60,60,regular,7,1,True,-1.06348,True
lit,wav2vec2-medium,method_60,60,regular,7,2,True,-1.00015,True
lit,wav2vec2-medium,method_60,60,regular,7,3,True,-1.04664,True
lit,wav2vec2-medium,method_60,60,regular,7,4,True,-1.01035,True
lit,wav2vec2-medium,method_60,60,regular,7,5,True,-0.98445,True
lit,wav2vec2-medium,method_60_counter,60,counter,3,1,True,0.43309,False
lit,wav2vec2-medium,method_60_counter,60,counter,3,2,True,0.40268,False
lit,wav2vec2-medium,method_60_counter,60,counter,3,3,True,0.10369,False
lit,wav2vec2-medium,method_60_counter,60,counter,3,4,True,-0.02019,False
lit,wav2vec2-medium,method_60_counter,60,counter,3,5,True,0.7244,False
lit,wav2vec2-medium,method_60_counter,60,counter,5,1,True,-0.85057,True
lit,wav2vec2-medium,method_60_counter,60,counter,5,2,True,-0.87202,True
lit,wav2vec2-medium,method_60_counter,60,counter,5,3,True,-0.80669,True
lit,wav2vec2-medium,method_60_counter,60,counter,5,4,True,-0.57789,False
lit,wav2vec2-medium,method_60_counter,60,counter,5,5,True,-0.84163,True
lit,wav2vec2-medium,method_60_counter,60,counter,7,1,True,-0.86369,True
lit,wav2vec2-medium,method_60_counter,60,counter,7,2,True,-0.78545,True
lit,wav2vec2-medium,method_60_counter,60,counter,7,3,True,-0.85101,True
lit,wav2vec2-medium,method_60_counter,60,counter,7,4,True,-0.7223,False
lit,wav2vec2-medium,method_60_counter,60,counter,7,5,True,-0.83274,True
lit,wav2vec2-medium,method_72,72,regular,3,1,True,-0.93205,True
lit,wav2vec2-medium,method_72,72,regular,3,2,True,-1.20158,True
lit,wav2vec2-medium,method_72,72,regular,3,3,True,-1.22627,True
lit,wav2vec2-medium,method_72,72,regular,3,4,True,-1.24338,True
lit,wav2vec2-medium,method_72,72,regular,3,5,True,-0.8377,True
lit,wav2vec2-medium,method_72,72,regular,5,1,True,-0.73944,False
lit,wav2vec2-medium,method_72,72,regular,5,2,True,-0.66114,False
lit,wav2vec2-medium,method_72,72,regular,5,3,True,-1.01375,True
lit,wav2vec2-medium,method_72,72,regular,5,4,True,-0.84825,True
lit,wav2vec2-medium,method_72,72,regular,5,5,True,-1.00981,True
lit,wav2vec2-medium,method_72,72,regular,7,1,True,-0.73944,False
lit,wav2vec2-medium,method_72,72,regular,7,2,True,-0.66893,False
lit,wav2vec2-medium,method_72,72,regular,7,3,True,-0.85687,True
lit,wav2vec2-medium,method_72,72,regular,7,4,True,-0.74005,False
lit,wav2vec2-medium,method_72,72,regular,7,5,True,-0.66893,False
lit,wav2vec2-medium,method_72_counter,72,counter,3,1,True,-0.65452,False
lit,wav2vec2-medium,method_72_counter,72,counter,3,2,True,-0.4009,False
lit,wav2vec2-medium,method_72_counter,72,counter,3,3,True,-0.39917,False
lit,wav2vec2-medium,method_72_counter,72,counter,3,4,True,-0.40478,False
lit,wav2vec2-medium,method_72_counter,72,counter,3,5,True,-0.9176,True
lit,wav2vec2-medium,method_72_counter,72,counter,5,1,True,-0.97801,True
lit,wav2vec2-medium,method_72_counter,72,counter,5,2,True,-1.31592,True
lit,wav2vec2-medium,method_72_counter,72,counter,5,3,True,-0.57082,False
lit,wav2vec2-medium,method_72_counter,72,counter,5,4,True,-0.73719,False
lit,wav2vec2-medium,method_72_counter,72,counter,5,5,True,-0.57598,False
lit,wav2vec2-medium,method_72_counter,72,counter,7,1,True,-0.98667,True
lit,wav2vec2-medium,method_72_counter,72,counter,7,2,True,-1.31717,True
lit,wav2vec2-medium,method_72_counter,72,counter,7,3,True,-0.74088,False
lit,wav2vec2-medium,method_72_counter,72,counter,7,4,True,-0.98678,True
lit,wav2vec2-medium,method_72_counter,72,counter,7,5,True,-1.31717,True
lit,wav2vec2-medium,method_74,74,regular,3,1,True,-1.21142,True
lit,wav2vec2-medium,method_74,74,regular,3,2,True,-1.2665,True
lit,wav2vec2-medium,method_74,74,regular,3,3,True,-1.25764,True
lit,wav2vec2-medium,method_74,74,regular,3,4,True,-1.11667,True
lit,wav2vec2-medium,method_74,74,regular,3,5,True,-1.254,True
lit,wav2vec2-medium,method_74,74,regular,5,1,True,-1.13588,True
lit,wav2vec2-medium,method_74,74,regular,5,2,True,-1.13588,True
lit,wav2vec2-medium,method_74,74,regular,5,3,True,-1.13588,True
lit,wav2vec2-medium,method_74,74,regular,5,4,True,-1.13588,True
lit,wav2vec2-medium,method_74,74,regular,5,5,True,-1.13588,True
lit,wav2vec2-medium,method_74,74,regular,7,1,True,-1.15081,True
lit,wav2vec2-medium,method_74,74,regular,7,2,True,-1.15081,True
lit,wav2vec2-medium,method_74,74,regular,7,3,True,-1.15081,True
lit,wav2vec2-medium,method_74,74,regular,7,4,True,-1.15081,True
lit,wav2vec2-medium,method_74,74,regular,7,5,True,-1.15081,True
lit,wav2vec2-medium,method_74_counter,74,counter,3,1,True,-0.39562,False
lit,wav2vec2-medium,method_74_counter,74,counter,3,2,True,-0.27562,False
