Model,C0,S1,S2,S3,S4,S5,S6,Total
tiny,10/10,4/10,8/10,4/10,9/10,9/10,3/10,47/70
base,6/10,3/10,6/10,3/10,8/10,7/10,2/10,35/70
small,9/10,5/10,9/10,5/10,10/10,9/10,4/10,51/70
medium,10/10,9/10,10/10,9/10,10/10,8/10,6/10,62/70
Total,35/40,21/40,33/40,21/40,37/40,33/40,15/40,195/280
