Model,C0,S1,S2,S3,S4,S5,S6,Total
tiny,5/10,4/10,1/10,1/10,1/10,0/10,0/10,12/70
base,7/10,2/10,6/10,2/10,8/10,7/10,3/10,35/70
small,4/10,1/10,0/10,0/10,1/10,0/10,0/10,6/70
medium,7/10,2/10,2/10,1/10,4/10,2/10,1/10,19/70
Total,23/40,9/40,9/40,4/40,14/40,9/40,4/40,72/280
