Model,C0,S1,S2,S3,S4,S5,S6,Total
tiny,7/10,4/10,2/10,2/10,3/10,1/10,0/10,19/70
base,6/10,4/10,2/10,2/10,3/10,4/10,1/10,22/70
small,5/10,2/10,5/10,2/10,5/10,4/10,1/10,24/70
medium,7/10,1/10,1/10,1/10,2/10,4/10,0/10,16/70
Total,25/40,11/40,10/40,7/40,13/40,13/40,2/40,81/280
