site,stat,value,p,extra
frontal,agree_k0_S7@1.0,3.0,,null=0.29
frontal,agree_k1_S7@1.0,0.0,,null=2.23
frontal,agree_k2_S7@1.0,6.0,,null=7.55
frontal,agree_k3_S7@1.0,15.0,,null=13.57
frontal,agree_k4_S7@1.0,9.0,,null=13.74
frontal,agree_k5_S7@1.0,14.0,,null=7.96
frontal,agree_k6_S7@1.0,1.0,,null=2.37
frontal,agree_k7_S7@1.0,0.0,,null=0.28
frontal,fleiss_kappa_floor_S7@1.5,0.012150490411359738,0.1827634473105379,base_rate=0.411
frontal,agree_k0_S7@1.5,3.0,,null=0.93
frontal,agree_k1_S7@1.5,4.0,,null=5.31
frontal,agree_k2_S7@1.5,11.0,,null=12.39
frontal,agree_k3_S7@1.5,13.0,,null=14.89
frontal,agree_k4_S7@1.5,13.0,,null=9.95
frontal,agree_k5_S7@1.5,3.0,,null=3.74
frontal,agree_k6_S7@1.5,1.0,,null=0.73
frontal,agree_k7_S7@1.5,0.0,,null=0.05
frontal,fleiss_kappa_floor_S7@2.5,0.028629585379883932,0.022795440911817635,base_rate=0.277
frontal,agree_k0_S7@2.5,7.0,,null=3.76
frontal,agree_k1_S7@2.5,12.0,,null=13.26
frontal,agree_k2_S7@2.5,13.0,,null=17.26
frontal,agree_k3_S7@2.5,10.0,,null=10.22
frontal,agree_k4_S7@2.5,5.0,,null=3.01
frontal,agree_k5_S7@2.5,1.0,,null=0.45
frontal,agree_k6_S7@2.5,0.0,,null=0.04
frontal,agree_k7_S7@2.5,0.0,,null=0.00
FCz,fleiss_kappa_floor_S2,0.13685888918416175,0.0001999600079984003,base_rate=0.789
FCz,agree_k0_S2,0.0,,null=0.00
FCz,agree_k1_S2,3.0,,null=0.02
FCz,agree_k2_S2,0.0,,null=0.21
FCz,agree_k3_S2,0.0,,null=1.49
FCz,agree_k4_S2,6.0,,null=6.09
FCz,agree_k5_S2,5.0,,null=14.09
FCz,agree_k6_S2,25.0,,null=17.45
FCz,agree_k7_S2,9.0,,null=8.65
