bin,dataset,mean,ci_lo,ci_hi,n
"[0,2)",lit,-0.794349,-1.27713,-0.311571,40
"[0,2)",p2,,,,0
"[2,4)",lit,-0.786279,-0.907532,-0.665026,115
"[2,4)",p2,,,,0
"[4,6)",lit,,,,0
"[4,6)",p2,-1.00594,-1.59134,-0.420536,19
"[6,8)",lit,-1.20606,-1.68506,-0.727073,29
"[6,8)",p2,-1.1267,-1.33954,-0.913862,98
"[8,10)",lit,-0.982849,-1.60299,-0.362711,9
"[8,10)",p2,-1.47874,-1.90092,-1.05655,37
"[10,12]",lit,-1.33946,-1.72282,-0.956098,69
"[10,12]",p2,-1.29452,-1.49592,-1.09311,129
