bin,median_uv,ci_lo,ci_hi,n_conditions,mean_uv,interval_shown
"[0,2)",-0.516278,-1.06335,-0.355368,8,-0.855136,True
"[2,4)",-0.829632,-0.842542,-0.785022,20,-0.771283,True
"[4,6)",,,,0,,False
"[6,8)",-1.21712,-1.89758,-0.582231,6,-1.23231,True
"[8,10)",-0.960671,-1.16027,-0.761073,2,-0.960671,False
"[10,12]",-1.0722,-1.73125,-0.984017,12,-1.33682,True
