bin,mean,ci_lo,ci_hi,n
"[0,2)",0.825,0.716033,0.933967,48
"[2,4)",0.957222,0.926498,0.987947,120
"[4,6)",0.747222,0.580994,0.91345,24
"[6,8)",0.820085,0.765627,0.874544,156
"[8,10)",0.791111,0.692334,0.889889,60
"[10,12]",0.860819,0.820061,0.901577,228
