bin,mean_uv,ci_lo,ci_hi,n_rows,n_conditions,n_conditions_passing
"[0,2)",-0.794349,-1.27713,-0.311571,40,8,8
"[2,4)",-0.786279,-0.907532,-0.665026,115,20,20
"[4,6)",,,,0,0,0
"[6,8)",-1.20606,-1.68506,-0.727073,29,6,6
"[8,10)",-0.982849,-1.60299,-0.362711,9,2,2
"[10,12]",-1.33946,-1.72282,-0.956098,69,12,12
