bin,mean_pass_rate,ci_lo,ci_hi,n_model_conditions,n_conditions
"[0,2)",0.825,0.716033,0.933967,48,8
"[2,4)",0.957222,0.926498,0.987947,120,20
"[4,6)",,,,0,0
"[6,8)",0.814815,0.69399,0.93564,36,6
"[8,10)",0.744444,0.473021,1.01587,12,2
"[10,12]",0.957407,0.922298,0.992517,72,12
