bin,dataset,mean,ci_lo,ci_hi,n
"[0,2)",lit,-1.86924,-3.44133,-0.29715,12
"[0,2)",p2,,,,0
"[2,4)",lit,-1.36771,-1.54215,-1.19328,48
"[2,4)",p2,,,,0
"[4,6)",lit,,,,0
"[4,6)",p2,-1.7709,-2.6445,-0.897309,10
"[6,8)",lit,-1.87257,-2.51565,-1.22948,17
"[6,8)",p2,-1.57912,-1.82775,-1.33049,65
"[8,10)",lit,-1.50237,-2.3833,-0.621434,5
"[8,10)",p2,-1.91343,-2.42996,-1.39691,26
"[10,12]",lit,-2.04125,-2.54356,-1.53894,43
"[10,12]",p2,-1.72039,-1.94503,-1.49574,92
