bin,mean_pass_rate,ci_lo,ci_hi,n_conditions,interval_shown
"[0,2)",0.825,0.720833,0.929167,8,True
"[2,4)",0.957222,0.918889,0.988333,20,True
"[4,6)",,,,0,False
"[6,8)",0.814815,0.711111,0.924074,6,True
"[8,10)",0.744444,0.688889,0.8,2,False
"[10,12]",0.957407,0.926852,0.985185,12,True
