model,rho_lit,p_lit,rho_p2,p_p2,rho_lit_p2,p_lit_p2,same_sign
POOLED,-0.0638277,0.185456,-0.00581539,0.753925,-0.0152463,0.378401,True
whisper-tiny,-0.0443695,0.75479,0.02362,0.638497,0.0115873,0.806357,False
whisper-base,-0.0960093,0.555643,-0.0195938,0.703777,-0.0217473,0.657131,True
whisper-small,0.113876,0.451121,0.0189389,0.708548,0.0223607,0.640717,True
whisper-medium,-0.161653,0.130167,0.00477234,0.913133,-0.0155087,0.701326,False
wav2vec2-medium,0.0138352,0.889139,-0.0402194,0.309676,-0.0384475,0.294946,False
wav2vec2-large,-0.0934307,0.352726,-0.00316242,0.939736,-0.0201389,0.601457,True
