site,stat,value,p,extra
FCz,cum_S7@0.25_ge1,48.0,,of 48
FCz,cum_S7@0.5_ge7,1.0,,of 48
FCz,cum_S7@0.5_ge6,6.0,,of 48
FCz,cum_S7@0.5_ge5,19.0,,of 48
FCz,cum_S7@0.5_ge4,32.0,,of 48
FCz,cum_S7@0.5_ge3,42.0,,of 48
FCz,cum_S7@0.5_ge2,46.0,,of 48
FCz,cum_S7@0.5_ge1,48.0,,of 48
FCz,cum_S7@0.75_ge7,0.0,,of 48
FCz,cum_S7@0.75_ge6,2.0,,of 48
FCz,cum_S7@0.75_ge5,5.0,,of 48
FCz,cum_S7@0.75_ge4,17.0,,of 48
FCz,cum_S7@0.75_ge3,39.0,,of 48
FCz,cum_S7@0.75_ge2,43.0,,of 48
FCz,cum_S7@0.75_ge1,47.0,,of 48
FCz,cum_S7@1.0_ge7,0.0,,of 48
FCz,cum_S7@1.0_ge6,0.0,,of 48
FCz,cum_S7@1.0_ge5,3.0,,of 48
FCz,cum_S7@1.0_ge4,13.0,,of 48
FCz,cum_S7@1.0_ge3,23.0,,of 48
FCz,cum_S7@1.0_ge2,39.0,,of 48
FCz,cum_S7@1.0_ge1,44.0,,of 48
FCz,cum_S7@1.5_ge7,0.0,,of 48
FCz,cum_S7@1.5_ge6,0.0,,of 48
FCz,cum_S7@1.5_ge5,0.0,,of 48
FCz,cum_S7@1.5_ge4,0.0,,of 48
FCz,cum_S7@1.5_ge3,15.0,,of 48
FCz,cum_S7@1.5_ge2,24.0,,of 48
FCz,cum_S7@1.5_ge1,36.0,,of 48
FCz,cum_S7@2.5_ge7,0.0,,of 48
FCz,cum_S7@2.5_ge6,0.0,,of 48
FCz,cum_S7@2.5_ge5,0.0,,of 48
FCz,cum_S7@2.5_ge4,0.0,,of 48
FCz,cum_S7@2.5_ge3,3.0,,of 48
FCz,cum_S7@2.5_ge2,10.0,,of 48
FCz,cum_S7@2.5_ge1,29.0,,of 48
FCz,regular_vs_counter_repair_null_p,-0.06673396724154519,0.4323135372925415,null_mean=-0.0544;null_p2.5=-0.190
FCz,regular_vs_counter_z_pearson,-0.06673396724154519,0.39008030450915854,n=168
FCz,regular_vs_counter_z_spearman,-0.03535363761066203,0.6491404852823921,n=168
