site,method,mean_pct,sd_pct,n_s2,method_id,dirn,st,soa,hz
FCz,method_21,82.37082066869301,17.66146643348411,6,21,regular,10.65030324889905,500,1000→1850
FCz,method_20,81.45896656534954,18.89964944726074,6,20,regular,10.65030324889905,500,1000→1850
FCz,method_55_counter,75.68389057750758,31.121513111138388,6,55,counter,12.0,500,2000→1000
FCz,method_19_counter,71.73252279635258,38.19359890091008,7,19,counter,10.65030324889905,200,1850→1000
FCz,method_18_counter,70.51671732522796,36.42854289745565,7,18,counter,10.65030324889905,200,1850→1000
FCz,method_17_counter,69.90881458966565,36.552600566326575,7,17,counter,10.65030324889905,200,1850→1000
FCz,method_44_counter,64.74164133738601,32.70550615071616,6,44,counter,7.916671142804949,510,1000→633
FCz,method_20_counter,62.31003039513678,24.156645306636197,7,20,counter,10.65030324889905,500,1850→1000
FCz,method_53_counter,61.39817629179332,17.563550411177708,7,53,counter,3.1564128700055254,333,1200→1000
FCz,method_21_counter,60.790273556231014,27.13237736356766,7,21,counter,10.65030324889905,500,1850→1000
FCz,method_60_counter,56.23100303951368,32.24082139372943,7,60,counter,7.019550008653875,300,1500→1000
FCz,method_19,55.015197568389056,34.492342646816354,7,19,regular,10.65030324889905,200,1000→1850
FCz,method_17,55.01519756838905,37.63068514532617,7,17,regular,10.65030324889905,200,1000→1850
FCz,method_60,55.01519756838905,37.36912823475763,5,60,regular,7.019550008653875,300,1000→1500
FCz,method_18,54.711246200607896,36.72322932730963,7,18,regular,10.65030324889905,200,1000→1850
FCz,method_30_counter,53.79939209726443,23.070289251241245,7,30,counter,3.1564128700055254,350,1200→1000
FCz,method_31_counter,53.191489361702125,21.76738901166356,7,31,counter,3.1564128700055254,350,1200→1000
FCz,method_29_counter,52.887537993920965,21.85140467489769,7,29,counter,3.1564128700055254,350,1200→1000
FCz,method_29,51.671732522796354,24.985714515579904,7,29,regular,3.1564128700055254,350,1000→1200
FCz,method_28_counter,51.3677811550152,20.934432098920617,7,28,counter,3.1564128700055254,350,1200→1000
FCz,method_72,51.06382978723404,22.247357647316484,7,72,regular,3.1564128700055254,500,1000→1200
FCz,method_32_counter,50.45592705167173,21.337299422230085,7,32,counter,3.1564128700055254,350,1200→1000
FCz,method_33,50.151975683890576,32.52042904393582,6,33,regular,3.1564128700055254,600,1000→1200
FCz,method_30,49.848024316109424,24.747316436881306,7,30,regular,3.1564128700055254,350,1000→1200
FCz,method_28,49.848024316109424,26.937020110765378,7,28,regular,3.1564128700055254,350,1000→1200
FCz,method_32,49.54407294832827,23.233233486623863,7,32,regular,3.1564128700055254,350,1000→1200
FCz,method_75,49.54407294832827,22.6744460809219,7,75,regular,3.1564128700055254,500,1000→1200
FCz,method_31,48.93617021276595,26.60283593405823,7,31,regular,3.1564128700055254,350,1000→1200
FCz,method_10_counter,47.72036474164133,17.9219651672656,6,10,counter,1.9928721113604713,300,1122→1000
FCz,method_09,47.41641337386018,35.29851327686184,6,9,regular,8.843587129994475,630,600→1000
FCz,method_55,47.112462006079035,39.756095286911744,7,55,regular,12.0,500,1000→2000
FCz,method_53,46.808510638297875,25.767237056148865,7,53,regular,3.1564128700055254,333,1000→1200
FCz,method_27,46.808510638297875,20.990990903473392,4,27,regular,1.0739778100692317,900,1000→1064
FCz,method_09_counter,45.2887537993921,34.954847801285794,5,9,counter,8.843587129994475,630,1000→600
FCz,method_37_counter,44.07294832826748,14.044395200179842,7,37,counter,0.8446719346967759,310,1050→1000
FCz,method_12,43.161094224924014,19.948412633910863,6,12,regular,3.1564128700055254,400,1000→1200
FCz,method_37,41.03343465045593,23.619713785380277,7,37,regular,0.8446719346967759,310,1000→1050
FCz,method_12_counter,40.42553191489361,36.128469863688025,6,12,counter,3.1564128700055254,400,1200→1000
FCz,method_43,39.51367781155015,32.45075299491275,5,43,regular,1.74179306884785,510,633→700
FCz,method_44,39.20972644376901,42.67459884446017,4,44,regular,7.916671142804949,510,633→1000
FCz,method_74_counter,39.209726443769,24.502200787975504,4,74,counter,7.019550008653875,1000,1500→1000
FCz,method_33_counter,37.38601823708206,36.890147301752364,7,33,counter,3.1564128700055254,600,1200→1000
FCz,method_10,32.21884498480243,25.187648602309665,6,10,regular,1.9928721113604713,300,1000→1122
FCz,method_43_counter,31.306990881458965,20.397227940876608,6,43,counter,1.74179306884785,510,700→633
FCz,method_74,30.091185410334344,27.176040057455452,6,74,regular,7.019550008653875,1000,1000→1500
FCz,method_72_counter,22.492401215805472,16.428376947282107,5,72,counter,3.1564128700055254,500,1200→1000
FCz,method_75_counter,21.580547112462003,13.25474262082921,6,75,counter,3.1564128700055254,500,1200→1000
FCz,method_27_counter,17.933130699088146,18.82536482334592,4,27,counter,1.0739778100692317,900,1064→1000
