rank,method,phase1_rank,stimulus,n_agree,mean_uv,mean_uv_all6,median_uv_all6,max_uv_all6,min_uv_all6,models_not_agreeing
1,method_1812,5,2263 → 7611 Hz,6,-2.245,-2.245,-2.042,-1.318,-3.327,
2,method_1750,3,1600 → 7611 Hz,6,-2.173,-2.173,-2.477,-0.763,-2.646,
3,method_1627,6,951 → 7611 Hz,6,-2.137,-2.137,-2.118,-1.02,-2.918,
4,method_1603,7,872 → 7611 Hz,6,-2.074,-2.074,-2.213,-1.056,-2.892,
5,method_1882,4,4150 → 7611 Hz,6,-1.995,-1.995,-1.741,-1.127,-2.965,
6,method_1525,12,673 → 7611 Hz,6,-1.601,-1.601,-1.268,-1.056,-3.054,
7,method_1766,11,1745 → 6979 Hz,6,-1.563,-1.563,-1.265,-0.908,-3.308,
8,method_1066_counter,8,1745 → 218 Hz,6,-1.422,-1.422,-1.129,-0.784,-2.92,
9,method_1809,14,2263 → 5869 Hz,6,-1.329,-1.329,-1.213,-0.779,-2.293,
10,method_1740,18,1600 → 3200 Hz,5,-3.143,-2.729,-1.808,-0.661,-8.053,whisper-tiny
11,method_1765,21,1745 → 6400 Hz,5,-2.911,-2.516,-1.807,-0.545,-7.834,whisper-small
12,method_1762,20,1745 → 4935 Hz,5,-2.815,-2.455,-1.768,-0.654,-7.006,whisper-small
13,method_1737,25,1600 → 2468 Hz,5,-2.566,-2.206,-1.684,-0.407,-6.187,whisper-tiny
14,method_1722,28,1467 → 3200 Hz,5,-2.469,-2.128,-1.751,-0.423,-4.672,whisper-tiny
15,method_1515,19,673 → 3200 Hz,5,-2.422,-2.032,-1.439,-0.086,-6.347,whisper-base
16,method_1710,27,1345 → 5869 Hz,5,-2.416,-2.009,-1.939,0.029,-4.874,whisper-tiny
17,method_1745,34,1600 → 4935 Hz,5,-2.245,-1.967,-1.782,-0.577,-4.606,whisper-tiny
18,method_1676_counter,41,1745 → 1234 Hz,5,-2.23,-1.872,-1.509,-0.08,-4.939,whisper-small
19,method_1568,84,800 → 3200 Hz,5,-2.228,-1.884,-1.465,-0.167,-3.999,whisper-tiny
20,method_1701,26,1345 → 2691 Hz,5,-2.2,-1.824,-1.861,0.055,-3.584,whisper-tiny
21,method_1825,30,2468 → 7611 Hz,5,-2.173,-1.782,-1.465,0.171,-4.078,wav2vec2-medium
22,method_1738,51,1600 → 2691 Hz,5,-2.172,-1.856,-1.775,-0.274,-3.708,whisper-tiny
23,method_1747,32,1600 → 5869 Hz,5,-2.158,-1.866,-1.753,-0.405,-4.159,whisper-tiny
24,method_1578,40,800 → 7611 Hz,5,-2.151,-1.916,-1.927,-0.74,-3.132,whisper-tiny
25,method_1730,22,1467 → 6400 Hz,5,-2.144,-1.709,-1.464,0.47,-3.547,whisper-tiny
26,method_1729,78,1467 → 5869 Hz,5,-2.127,-1.671,-1.831,0.609,-3.828,whisper-tiny
27,method_1679_counter,36,2263 → 1234 Hz,5,-2.113,-1.804,-1.797,-0.26,-3.962,whisper-base
28,method_1739,43,1600 → 2934 Hz,5,-2.107,-1.714,-1.5,0.255,-4.378,whisper-tiny
29,method_1783,2,1903 → 7611 Hz,5,-2.106,-2.016,-1.939,-1.522,-2.892,wav2vec2-large
30,method_1650,42,1037 → 7611 Hz,5,-2.096,-1.819,-1.938,-0.432,-2.764,whisper-tiny
31,method_1881,10,4150 → 6979 Hz,5,-2.02,-1.805,-1.203,-0.733,-5.161,whisper-tiny
32,method_1727,39,1467 → 4935 Hz,5,-2.018,-1.729,-1.598,-0.287,-3.621,whisper-tiny
33,method_1798,45,2075 → 7611 Hz,5,-1.972,-1.872,-1.828,-1.189,-2.919,wav2vec2-large
34,method_1703,47,1345 → 3200 Hz,5,-1.969,-1.675,-1.325,-0.206,-3.246,whisper-tiny
35,method_1487,89,617 → 3200 Hz,5,-1.933,-1.484,-1.387,0.762,-4.02,whisper-base
36,method_1887,48,4525 → 6979 Hz,5,-1.93,-1.685,-0.948,-0.459,-4.873,whisper-base
37,method_1144_counter,61,1600 → 259 Hz,5,-1.913,-1.674,-1.579,-0.479,-3.841,whisper-tiny
38,method_1764,55,1745 → 5869 Hz,5,-1.882,-1.665,-1.304,-0.584,-3.16,whisper-small
39,method_1266_counter,44,4150 → 336 Hz,5,-1.873,-1.429,-1.48,0.788,-2.776,whisper-medium
40,method_1720,50,1467 → 2691 Hz,5,-1.849,-1.514,-1.127,0.161,-3.602,whisper-tiny
41,method_1712,56,1345 → 6979 Hz,5,-1.841,-1.547,-1.432,-0.08,-2.621,whisper-tiny
42,method_1807,9,2263 → 4935 Hz,5,-1.837,-1.644,-1.126,-0.676,-4.384,wav2vec2-medium
43,method_1746,63,1600 → 5382 Hz,5,-1.829,-1.483,-1.526,0.248,-2.993,whisper-tiny
44,method_1755,73,1745 → 2691 Hz,5,-1.826,-1.611,-1.339,-0.536,-3.188,whisper-base
45,method_1744,97,1600 → 4525 Hz,5,-1.765,-1.511,-1.863,-0.241,-2.268,whisper-small
46,method_1875,71,3805 → 7611 Hz,5,-1.763,-1.58,-1.572,-0.662,-2.521,wav2vec2-large
47,method_1708,64,1345 → 4935 Hz,5,-1.762,-1.41,-1.702,0.353,-2.389,whisper-tiny
48,method_1699_counter,52,2263 → 1345 Hz,5,-1.76,-1.454,-1.546,0.072,-2.453,whisper-base
49,method_1032,23,200 → 3200 Hz,5,-1.748,-1.409,-0.941,0.286,-3.51,whisper-small
50,method_1273,67,336 → 7611 Hz,5,-1.731,-1.532,-1.356,-0.54,-2.763,whisper-tiny
