n_models_min,10,20,30,40,50,75,100,125,150,200,250,300
1,59,115,167,219,268,392,504,614,715,873,1023,1164
2,1,5,11,18,27,50,82,114,155,261,368,459
3,0,0,2,2,4,7,13,19,27,54,91,142
4,0,0,0,1,1,1,1,2,2,11,16,29
5,0,0,0,0,0,0,0,1,1,1,2,5
6,0,0,0,0,0,0,0,0,0,0,0,1
