n_agree_min,mean_uv_max,directions,pairs,chf
1,-3.5,0,0,0.0
1,-3.25,0,0,0.0
1,-3.0,2,2,2.65
1,-2.75,7,7,9.275
1,-2.5,13,13,17.225
1,-2.25,28,28,37.1
1,-2.0,59,53,70.225
1,-1.75,99,80,106.0
1,-1.5,157,113,149.725
1,-1.25,204,124,164.3
1,-1.0,238,127,168.275
1,-0.75,249,127,168.275
1,-0.5,249,127,168.275
1,-0.25,249,127,168.275
1,-0.0,249,127,168.275
2,-3.5,0,0,0.0
2,-3.25,0,0,0.0
2,-3.0,2,2,2.65
2,-2.75,7,7,9.275
2,-2.5,11,11,14.575
2,-2.25,25,25,33.125
2,-2.0,54,49,64.925
2,-1.75,89,74,98.05
2,-1.5,140,110,145.75
2,-1.25,182,123,162.975
2,-1.0,209,127,168.275
2,-0.75,214,127,168.275
2,-0.5,214,127,168.275
2,-0.25,214,127,168.275
2,-0.0,214,127,168.275
3,-3.5,0,0,0.0
3,-3.25,0,0,0.0
3,-3.0,2,2,2.65
3,-2.75,6,6,7.95
3,-2.5,9,9,11.925
3,-2.25,19,19,25.175
3,-2.0,44,43,56.975
3,-1.75,75,66,87.45
3,-1.5,115,99,131.175
3,-1.25,144,117,155.025
3,-1.0,163,127,168.275
3,-0.75,163,127,168.275
3,-0.5,163,127,168.275
3,-0.25,163,127,168.275
3,-0.0,163,127,168.275
4,-3.5,0,0,0.0
4,-3.25,0,0,0.0
4,-3.0,1,1,1.325
4,-2.75,4,4,5.3
4,-2.5,5,5,6.625
4,-2.25,14,14,18.55
4,-2.0,37,37,49.025
4,-1.75,59,57,75.525
4,-1.5,93,90,119.25
4,-1.25,117,111,147.075
4,-1.0,130,121,160.325
4,-0.75,130,121,160.325
4,-0.5,130,121,160.325
4,-0.25,130,121,160.325
4,-0.0,130,121,160.325
5,-3.5,0,0,0.0
5,-3.25,0,0,0.0
5,-3.0,1,1,1.325
5,-2.75,3,3,3.975
5,-2.5,4,4,5.3
5,-2.25,7,7,9.275
5,-2.0,27,27,35.775
5,-1.75,44,44,58.3
5,-1.5,68,68,90.1
5,-1.25,85,85,112.625
5,-1.0,91,91,120.575
5,-0.75,91,91,120.575
5,-0.5,91,91,120.575
5,-0.25,91,91,120.575
5,-0.0,91,91,120.575
6,-3.5,0,0,0.0
6,-3.25,0,0,0.0
6,-3.0,0,0,0.0
6,-2.75,0,0,0.0
6,-2.5,0,0,0.0
6,-2.25,0,0,0.0
6,-2.0,4,4,5.3
6,-1.75,5,5,6.625
6,-1.5,7,7,9.275
6,-1.25,9,9,11.925
6,-1.0,9,9,11.925
6,-0.75,9,9,11.925
6,-0.5,9,9,11.925
6,-0.25,9,9,11.925
6,-0.0,9,9,11.925
