n_models_min,5,10,15,20,25,30,35,40,45,50,60,70,80,100,125,150,175,200,250
1,30,55,76,96,114,130,143,154,161,170,190,196,205,225,241,246,253,254,254
2,0,5,12,21,27,38,49,60,75,86,107,124,140,162,185,220,242,249,253
3,0,0,2,3,8,10,16,21,27,31,44,65,87,116,144,177,209,236,243
4,0,0,0,0,1,2,2,5,7,13,17,28,40,72,115,139,172,192,209
5,0,0,0,0,0,0,0,0,0,0,2,6,7,23,59,96,120,146,158
6,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,22,44,59,68
