n_models_min,2,4,6,8,10,15,20,25,30,40,48
1,9,17,22,27,29,39,43,46,48,48,48
2,2,4,9,12,16,31,38,43,45,48,48
3,1,3,3,6,10,15,29,34,41,48,48
4,0,0,2,3,5,5,10,20,28,42,48
5,0,0,0,0,0,0,0,7,17,32,40
6,0,0,0,0,0,0,0,0,1,20,30
