standard_hz,200,218,238,259,283,308,336,367,400,436,476,519,566,617,673,734,800,872,951,1037,1131,1234,1345,1467,1600,1745,1903,2075,2263,2468,2691,2934,3200,3490,3805,4150,4525,4935,5382,5869,6400,6979,7611
200,,-0.32321833333333333,-0.02558499999999997,-0.2832466666666667,0.13417500000000007,0.21723833333333328,-0.3564633333333334,0.30030500000000004,-0.32949000000000006,-0.20609833333333336,-0.460015,-0.42222833333333337,-0.22057666666666673,-0.16244166666666668,0.13918499999999998,-0.3963599999999999,-0.02296833333333337,-0.066515,-0.05323166666666665,-0.77487,-0.6808533333333334,-1.0818783333333333,-0.7727366666666667,-0.8426483333333334,-0.33575000000000005,-0.5594683333333333,-0.5184116666666667,-0.9233483333333333,-1.1682183333333331,-0.6028450000000001,-1.0528183333333334,-0.7039583333333334,-2.1374750000000002,-0.37699500000000014,-0.64373,-0.5978283333333333,-1.0187033333333335,-0.41346499999999997,-0.5721716666666666,-0.30626666666666663,-0.5773083333333333,-0.8903433333333334,-1.3220916666666669
218,-0.675245,,-0.162285,-0.4389433333333333,-0.3558616666666667,0.002281666666666663,-0.13100499999999998,0.05049166666666668,-0.596865,-0.36175166666666664,-0.51076,-0.5997283333333333,-0.42804333333333333,-0.466145,-0.07902166666666667,-0.037780000000000015,-0.30477,-0.30396333333333336,-0.2875866666666667,-0.9998333333333335,-1.0751416666666667,-1.0883183333333333,-1.1085183333333333,-0.88996,-0.07199,-0.8297666666666667,-0.98314,-0.6319066666666666,-1.3878966666666666,-0.5857033333333334,-1.045165,-0.461895,-0.7341483333333333,-0.41334000000000004,-0.6830250000000001,-0.45920500000000003,-1.0278733333333334,-0.6601733333333334,-0.5888916666666666,-0.58951,-0.21601500000000004,-0.37422500000000003,-1.019415
238,-0.6206900000000001,-0.7223799999999999,,-0.4915983333333333,-0.3437466666666667,-0.037216666666666655,-0.38660166666666673,0.10832166666666665,-0.7135916666666667,-0.29592166666666664,-0.7024666666666667,-0.911285,-1.056195,-0.5442716666666666,-0.48888333333333334,-0.4870050000000001,-0.6238766666666666,-0.7880816666666668,-0.6636833333333334,-1.2236583333333335,-1.060625,-1.539065,-1.0857716666666668,-0.709885,-0.131095,-0.6385933333333335,-0.7840366666666666,-1.1288733333333332,-1.58561,-0.982135,-1.2477866666666666,-0.6535033333333334,-1.8496266666666665,-0.403055,-0.34813333333333335,-0.6986166666666667,-1.1057366666666668,-0.8435799999999999,-0.5859916666666667,-0.5701499999999999,-0.318355,-0.8575816666666666,-1.5510133333333334
259,-0.7978166666666667,-0.701775,-0.27792833333333333,,-0.24304166666666668,-0.0862033333333333,0.03278,0.07664999999999995,-0.7257983333333332,-0.6825950000000001,-0.869995,-0.589465,-0.6896766666666667,-0.7462949999999999,-0.35372000000000003,-0.6170083333333333,-0.4117983333333333,-0.7805666666666667,-0.48351666666666665,-0.6761216666666666,-0.954935,-1.0866583333333335,-0.7653133333333333,-0.63299,-0.05450999999999998,-0.2925066666666667,-0.52894,-0.29429,-1.468095,-0.6239216666666666,-1.0155783333333332,-0.4300416666666667,-1.13657,-0.17384833333333335,-0.2691733333333333,-0.2841066666666667,-0.38471166666666673,-0.46573666666666674,-0.37936166666666665,-0.868205,-0.07687000000000002,-0.383375,-1.13988
283,-1.1216633333333335,-0.9417833333333334,-0.7551616666666666,-0.4790233333333333,,-0.08569500000000001,-0.46013,-0.3844383333333334,-0.9771116666666667,-0.7523983333333333,-0.9109950000000001,-0.8018116666666667,-1.168745,-0.9147183333333334,-0.9074583333333334,-1.1010600000000001,-0.9678566666666667,-0.94923,-0.97442,-1.189025,-1.4032833333333332,-0.8199549999999999,-1.1806116666666668,-1.259005,-0.27972166666666665,-0.3944016666666667,-0.6798383333333334,-0.5564683333333335,-1.9678033333333333,-1.17455,-0.9294250000000001,-0.531485,-1.6035233333333334,-0.6694966666666667,-0.11176000000000003,-0.8403733333333333,-0.6219200000000001,-0.9368949999999999,-0.866685,-0.9280183333333333,-0.2533316666666666,-0.8766566666666668,-1.2560816666666668
308,-1.2086583333333334,-1.45634,-1.0728383333333333,-0.6681183333333333,-0.7796183333333334,,-0.25306333333333336,-0.33715333333333336,-0.9765750000000001,-0.6082616666666666,-0.888185,-0.80931,-1.0430650000000001,-0.8980566666666666,-0.7210766666666668,-0.5941166666666667,-0.9073083333333334,-1.006695,-0.7173133333333334,-1.0801516666666666,-0.94502,-0.8975866666666666,-1.1376833333333334,-1.0833316666666668,-0.23642,-0.6121833333333333,-0.25499,-0.8056166666666668,-1.85029,-1.5512116666666664,-0.9885916666666666,-0.41215,-2.039586666666667,-0.540285,-0.3656466666666667,-0.7167483333333333,-0.50666,-0.79799,-0.7927466666666666,-0.6007816666666667,-0.3628466666666667,-0.6629316666666667,-1.7152183333333335
336,-1.3556916666666667,-1.1822616666666665,-1.1303366666666665,-0.95343,-0.7049416666666666,-0.7876216666666668,,-0.4616983333333333,-0.8396333333333335,-0.3952333333333334,-0.6677333333333334,-0.5589566666666667,-0.6588233333333333,-0.6659916666666666,-0.2965299999999999,-0.478105,-0.525195,-0.6928300000000002,-0.49071166666666666,-0.8180599999999999,-0.7671683333333332,-0.8845299999999999,-0.6151166666666666,-0.5949583333333334,-0.23802833333333337,-0.22440166666666664,-0.34906,-0.8870733333333334,-1.6777983333333335,-1.2671483333333333,-0.9708066666666667,-0.4222266666666667,-1.4238066666666667,-0.56918,-0.7327233333333333,-1.0699616666666667,-0.34432666666666667,-0.5859833333333334,-1.0657866666666667,-0.2628966666666666,-0.292325,-0.37485500000000016,-1.602225
367,-0.9194716666666666,-0.8540866666666665,-0.7288783333333333,-0.6742333333333334,-0.8626333333333333,-0.5432083333333333,-0.06358833333333334,,-0.49596,-0.15299500000000008,-0.5844649999999999,-0.2942166666666667,-0.5771816666666667,-0.32244833333333334,-0.16568666666666665,-0.14230999999999996,-0.35692333333333326,-0.16172999999999993,-0.22661333333333342,-0.63372,-0.12529166666666672,-0.6830883333333332,-0.9732816666666668,-0.8014816666666668,0.227585,0.0656516666666666,-0.07600999999999995,-0.3877266666666667,-1.3785100000000001,-0.5897333333333333,-1.0984666666666667,-0.20196833333333333,-1.25739,-0.44083999999999995,0.0232383333333334,-0.8535583333333333,-0.3087316666666667,-0.45258499999999985,-0.1974000000000001,-0.3399366666666667,-0.15362166666666668,-0.8024433333333333,-1.3115833333333333
400,-0.692575,-1.1793033333333334,-1.1462883333333334,-1.163435,-0.5640933333333333,-0.435015,-0.3544433333333333,-0.5193133333333333,,-0.23030000000000003,-0.5762933333333333,-0.3359816666666667,-0.5035766666666667,-0.7198616666666666,-0.14635499999999999,-0.5409666666666667,-0.31506166666666663,0.16959833333333332,0.061918333333333374,-0.2770266666666666,-0.33141499999999996,-0.49576000000000003,-0.6752966666666667,-0.65891,-0.15617499999999998,-0.19432166666666664,-0.16690666666666673,-0.99236,-1.7789650000000001,-0.93179,-1.1466016666666665,-1.4008666666666667,-1.0570016666666666,-0.458165,-0.3919433333333333,-0.32462166666666664,-0.44525,-0.28689000000000003,-0.62619,-0.3931616666666667,0.09383666666666668,-0.5960216666666666,-1.70209
