n_agree,directions,pct_directions,pairs_both,pct_pairs_both,pairs_either,pct_pairs_either
6,9,3.543307086614173,0,0.0,9,7.086614173228346
5,82,32.28346456692913,0,0.0,82,64.56692913385827
4,39,15.354330708661417,1,0.7874015748031497,38,29.921259842519685
3,33,12.992125984251969,0,0.0,33,25.984251968503937
2,51,20.078740157480315,0,0.0,51,40.15748031496063
1,35,13.779527559055119,0,0.0,35,27.559055118110237
0,5,1.968503937007874,0,0.0,5,3.937007874015748
