model,n_instances,n_agreed_s7,n_dissented_s2_only,n_no_s2,median_uv_all,q25_uv_all,q75_uv_all,min_uv_all,max_uv_all,median_uv_agreed,s7_rate_all,s2_rate_all
whisper-tiny,91,58,18,15,-0.8932,-1.1966,-0.4277,-2.201,0.6089,-1.0667,0.4921,0.8622
whisper-base,91,80,8,3,-1.1622,-1.6607,-0.9867,-2.6459,0.7618,-1.3074,0.4803,0.6496
whisper-small,91,82,6,3,-1.1024,-1.3636,-0.9205,-3.3269,0.8065,-1.1469,0.4961,0.7283
whisper-medium,91,74,5,12,-1.8751,-2.548,-0.9277,-4.6716,1.7411,-2.1602,0.6102,0.7992
wav2vec2-medium,91,88,3,0,-1.6119,-1.9969,-1.1829,-2.9232,0.1709,-1.6421,0.7362,0.8937
wav2vec2-large,91,82,2,7,-2.4528,-3.325,-1.3862,-8.0532,0.8806,-2.5613,0.5551,0.7323
