set,n_agree,directions,pct
novel,6,9,3.543307086614173
novel,5,82,32.28346456692913
novel,4,39,15.354330708661417
novel,3,33,12.992125984251969
novel,2,51,20.078740157480315
novel,1,35,13.779527559055119
novel,0,5,1.968503937007874
literature,6,0,0.0
literature,5,2,4.166666666666667
literature,4,6,12.5
literature,3,17,35.416666666666664
literature,2,18,37.5
literature,1,4,8.333333333333334
literature,0,1,2.0833333333333335
