hz,n_as_standard,mean_uv_as_standard,n_as_deviant,mean_uv_as_deviant
200,42,-0.5098,42,-0.8851
218,42,-0.5622,42,-0.7894
238,42,-0.7541,42,-0.7142
259,42,-0.5556,42,-0.6245
283,42,-0.8568,42,-0.4368
308,42,-0.8548,42,-0.3898
336,42,-0.7354,42,-0.2614
367,42,-0.4971,42,-0.2976
400,42,-0.5854,42,-0.6431
436,42,-0.9317,42,-0.3907
476,42,-0.7985,42,-0.5464
519,42,-0.8141,42,-0.5695
566,42,-0.7239,42,-0.5712
617,42,-0.6069,42,-0.6232
673,42,-0.8395,42,-0.5757
734,42,-0.8284,42,-0.5639
800,42,-1.1152,42,-0.5071
872,42,-1.0774,42,-0.2631
951,42,-1.079,42,-0.4159
1037,42,-0.7955,42,-0.7353
1131,42,-0.4178,42,-0.7861
1234,42,-0.3841,42,-1.0449
1345,42,-1.2106,42,-0.8219
1467,42,-1.0324,42,-0.7545
1600,42,-1.4145,42,-0.4228
1745,42,-1.5053,42,-0.2873
1903,42,-0.7153,42,-0.5343
2075,42,-0.4466,42,-0.7702
2263,42,-0.8571,42,-1.1053
2468,42,-0.2977,42,-1.0289
2691,42,-0.558,42,-0.9237
2934,42,-0.3403,42,-0.9108
3200,42,-0.3827,42,-1.4306
3490,42,-0.5689,42,-0.8255
3805,42,-0.7909,42,-0.6598
4150,42,-1.1151,42,-0.8884
4525,42,-1.1422,42,-0.6906
4935,42,-0.1884,42,-0.9852
5382,42,-0.6505,42,-0.7591
5869,42,-0.4433,42,-0.8713
6400,42,-0.5276,42,-1.0852
6979,42,-0.2508,42,-1.0409
7611,42,-0.4381,42,-1.7685
