n_agree,directions,pct_directions,pairs_both,pct_pairs_both,pairs_either,pct_pairs_either
6,17,0.9413067552602437,0,0.0,17,1.8826135105204873
5,114,6.312292358803987,4,0.4429678848283499,110,12.181616832779623
4,289,16.00221483942414,21,2.3255813953488373,268,29.678848283499445
3,540,29.900332225913623,84,9.30232558139535,456,50.498338870431894
2,562,31.118493909191585,77,8.527131782945736,485,53.70985603543743
1,249,13.787375415282392,10,1.1074197120708749,239,26.46733111849391
0,35,1.937984496124031,0,0.0,35,3.875968992248062
