hz,n_as_standard,mean_n_agree_as_standard,mean_uv_all6_as_standard,n_as_deviant,mean_n_agree_as_deviant,mean_uv_all6_as_deviant,n_instances
200,4,3.5,-0.9288,4,4.25,-1.0412,8
218,2,3.5,-0.8891,2,4.5,-0.9575,4
238,5,3.2,-0.7653,5,3.8,-0.9564,10
259,4,1.5,-0.2572,4,4.75,-1.2384,8
283,4,3.0,-0.8907,4,4.0,-0.8522,8
308,1,2.0,-0.4122,1,5.0,-1.2589,2
336,2,3.5,-1.1236,2,2.5,-0.6157,4
367,1,3.0,-0.6216,1,5.0,-1.2385,2
400,3,2.0,-0.2673,3,4.0,-1.0931,6
436,1,4.0,-1.3512,1,5.0,-1.2399,2
476,5,2.2,-0.7304,5,4.6,-0.9951,10
519,3,2.6667,-0.911,3,5.0,-0.9488,6
566,1,3.0,-0.5785,1,4.0,-0.9505,2
617,1,5.0,-1.4838,1,2.0,-0.316,2
673,4,4.25,-1.5882,4,3.0,-0.4004,8
734,2,4.0,-1.4303,2,2.0,-0.1294,4
800,7,4.7143,-1.5373,7,1.8571,-0.2392,14
872,7,4.1429,-1.3193,7,1.7143,-0.121,14
951,9,4.6667,-1.3363,9,2.0,-0.3521,18
1037,3,4.6667,-1.3032,3,3.3333,-0.6479,6
1131,1,3.0,-0.5609,1,5.0,-1.0333,2
1234,7,1.5714,-0.1925,7,4.5714,-1.3918,14
1345,12,4.5833,-1.448,12,3.0,-0.7328,24
1467,8,4.625,-1.4829,8,2.0,-0.4123,16
1600,17,4.7059,-1.7134,17,1.8235,-0.3389,34
1745,13,4.9231,-1.7218,13,1.5385,-0.2228,26
1903,5,3.8,-1.1398,5,2.0,-0.6143,10
2075,7,4.1429,-0.9392,7,2.1429,-0.6417,14
2263,10,4.9,-1.4315,10,3.2,-0.9276,20
2468,5,2.2,-0.4285,5,4.2,-1.4384,10
2691,5,2.2,-0.7677,5,4.2,-1.4388,10
2934,4,3.25,-0.8171,4,3.25,-1.0588,8
3200,8,2.875,-0.3966,8,4.875,-1.8034,16
3490,1,3.0,-0.8258,1,2.0,-0.5233,2
3805,5,4.4,-1.1682,5,2.4,-0.4416,10
4150,14,4.3571,-1.2827,14,2.1429,-0.6062,28
4525,5,4.4,-1.0378,5,3.0,-0.8213,10
4935,8,1.125,-0.1487,8,4.625,-1.5338,16
5382,5,2.2,-0.7202,5,5.0,-1.3451,10
5869,5,1.0,-0.1336,5,5.2,-1.708,10
6400,8,1.25,-0.1466,8,4.375,-1.654,16
6979,12,1.1667,-0.0059,12,4.6667,-1.4557,24
7611,20,2.35,-0.3413,20,5.1,-1.846,40
