pair_id,n_agree_regular,mean_uv_regular,n_agree_counter,mean_uv_counter,n_agree_max,n_agree_min,n_agree_gap
1128,2,-1.296,3,-2.4207,3,2,1
1129,3,-1.4667,3,-2.4492,3,3,0
1130,4,-1.4156,2,-3.0079,4,2,2
1131,2,-1.1411,2,-1.9515,2,2,0
1132,4,-1.1743,2,-1.7768,4,2,2
1133,3,-1.345,2,-1.3987,3,2,1
1134,2,-1.564,1,-1.6367,2,1,1
1135,4,-1.306,1,-1.4564,4,1,3
1136,3,-1.3194,5,-1.713,5,3,2
1137,4,-1.5078,4,-1.5384,4,4,0
1138,3,-1.3013,3,-1.3689,3,3,0
1139,3,-1.6885,4,-1.4304,4,3,1
1140,3,-1.7078,2,-1.6177,3,2,1
1141,4,-1.6829,2,-1.3202,4,2,2
1142,3,-1.689,3,-1.8902,3,3,0
1143,2,-1.7714,4,-1.5327,4,2,2
1144,1,-0.9743,5,-1.8755,5,1,4
1145,2,-1.0783,5,-1.3347,5,2,3
1146,2,-1.3601,3,-1.421,3,2,1
1147,1,-1.4482,2,-1.1822,2,1,1
1148,3,-2.9123,2,-1.2704,3,2,1
1149,3,-1.3297,1,-1.1652,3,1,2
1150,2,-3.0312,3,-1.1271,3,2,1
1151,2,-1.9812,4,-1.785,4,2,2
1152,3,-2.0045,4,-1.4083,4,3,1
1153,2,-1.1201,4,-1.2402,4,2,2
1154,1,-1.1279,4,-1.4994,4,1,3
1155,1,-1.7368,5,-1.4108,5,1,4
1156,3,-1.0827,3,-1.3681,3,3,0
1157,2,-1.498,2,-1.8596,2,2,0
1158,2,-1.346,1,-1.4614,2,1,1
1159,2,-2.5377,1,-1.1746,2,1,1
1160,2,-0.965,2,-0.9181,2,2,0
1161,3,-1.2285,1,-3.128,3,1,2
1162,4,-1.5841,2,-1.1342,4,2,2
1163,0,,3,-1.3114,3,0,3
1164,1,-2.0342,4,-1.046,4,1,3
1165,2,-1.1363,3,-1.5979,3,2,1
1166,4,-1.6126,1,-2.3787,4,1,3
1167,3,-1.3609,2,-2.0629,3,2,1
1168,3,-1.9144,2,-2.301,3,2,1
1169,2,-1.8798,2,-2.2256,2,2,0
1170,4,-1.8254,3,-1.6514,4,3,1
1171,3,-1.7874,1,-0.7624,3,1,2
1172,3,-2.2765,1,-1.924,3,1,2
1173,3,-2.4752,1,-1.5811,3,1,2
1174,3,-2.1645,5,-1.6342,5,3,2
1175,3,-2.4481,2,-2.0371,3,2,1
1176,3,-2.0385,3,-1.4868,3,3,0
1177,3,-2.4039,2,-1.3048,3,2,1
1178,4,-2.1079,1,-1.0778,4,1,3
1179,3,-1.7921,3,-1.151,3,3,0
1180,3,-2.4536,3,-2.5411,3,3,0
1181,3,-2.5152,3,-1.312,3,3,0
1182,1,-1.8312,4,-1.6776,4,1,3
1183,3,-1.2064,5,-1.2486,5,3,2
1184,3,-1.7008,3,-1.2678,3,3,0
1185,2,-1.8614,2,-1.0023,2,2,0
1186,3,-4.1995,2,-1.1112,3,2,1
1187,3,-2.5416,1,-0.8736,3,1,2
1188,2,-3.4886,2,-0.822,2,2,0
1189,2,-3.2578,4,-1.5196,4,2,2
1190,2,-4.6433,4,-1.3908,4,2,2
1191,2,-2.4975,3,-1.2534,3,2,1
1192,1,-1.3198,4,-1.523,4,1,3
1193,3,-1.6852,5,-1.4944,5,3,2
1194,2,-1.029,2,-1.2806,2,2,0
1195,4,-1.4094,1,-1.1242,4,1,3
1196,2,-2.2986,2,-1.5149,2,2,0
1197,3,-2.0938,1,-0.7536,3,1,2
1198,1,-2.3871,1,-1.0191,1,1,0
1199,4,-1.2915,1,-0.7702,4,1,3
1200,5,-1.3578,2,-1.1212,5,2,3
1201,1,-1.3093,2,-1.8809,2,1,1
1202,1,-0.9273,2,-1.3217,2,1,1
1203,4,-1.4983,2,-1.047,4,2,2
1204,3,-1.1504,3,-1.498,3,3,0
1205,3,-1.8809,3,-1.5754,3,3,0
1206,2,-1.8345,3,-1.5481,3,2,1
1207,3,-1.9222,3,-1.2581,3,3,0
1208,3,-1.6649,2,-1.0062,3,2,1
1209,3,-1.8106,1,-1.0088,3,1,2
1210,3,-1.8567,2,-1.5546,3,2,1
1211,3,-2.0436,4,-1.5067,4,3,1
1212,3,-2.3619,3,-1.8793,3,3,0
1213,2,-1.9555,2,-1.4564,2,2,0
1214,4,-1.6951,2,-1.3981,4,2,2
1215,3,-1.7287,3,-0.9023,3,3,0
1216,3,-2.009,2,-1.0783,3,2,1
1217,3,-2.6069,3,-2.0913,3,3,0
1218,3,-2.1329,3,-1.4848,3,3,0
1219,1,-0.9312,4,-2.1182,4,1,3
1220,2,-2.2116,3,-1.1328,3,2,1
1221,1,-0.8817,3,-1.202,3,1,2
1222,2,-2.4123,2,-0.9544,2,2,0
1223,3,-3.7548,2,-0.9539,3,2,1
1224,3,-3.3299,1,-0.7858,3,1,2
1225,2,-3.0657,1,-1.3112,2,1,1
1226,2,-2.2494,3,-1.98,3,2,1
1227,2,-5.8214,3,-1.6357,3,2,1
1228,2,-1.7885,3,-1.2068,3,2,1
