pair_id,n_agree_regular,mean_uv_regular,n_agree_counter,mean_uv_counter,n_agree_max,n_agree_min,n_agree_gap
1024,2,-1.2732,5,-1.7058,5,2,3
1032,5,-1.7481,4,-1.4506,5,4,1
1034,2,-1.6071,5,-1.5589,5,2,3
1042,5,-1.4728,3,-1.8905,5,3,2
1066,3,-1.6216,6,-1.4221,6,3,3
1073,4,-1.6795,3,-1.3613,4,3,1
1101,5,-1.4013,3,-1.1469,5,3,2
1105,2,-0.9797,4,-2.465,4,2,2
1106,2,-1.663,5,-1.1568,5,2,3
1116,2,-1.6297,5,-1.6832,5,2,3
1123,5,-1.6073,2,-1.088,5,2,3
1136,2,-1.4144,5,-1.4595,5,2,3
1144,1,-1.2167,5,-1.9129,5,1,4
1145,2,-1.1396,5,-1.1931,5,2,3
1155,1,-2.0168,4,-1.6642,4,1,3
1174,3,-1.9715,5,-1.4431,5,3,2
1183,2,-1.8649,4,-1.158,4,2,2
1193,2,-1.5648,5,-1.6183,5,2,3
1200,5,-1.6736,2,-0.8336,5,2,3
1230,2,-1.0985,5,-1.6126,5,2,3
1266,2,-1.3345,5,-1.8728,5,2,3
1273,5,-1.731,0,,5,0,5
1301,3,-1.4818,5,-1.699,5,3,2
1318,2,-1.5437,5,-1.183,5,2,3
1323,2,-1.7111,3,-1.5982,3,2,1
1324,2,-1.591,4,-1.9124,4,2,2
1355,4,-2.1823,5,-1.5081,5,4,1
1382,2,-1.5709,4,-1.1416,4,2,2
1383,2,-2.3752,5,-1.3235,5,2,3
1387,3,-1.8976,5,-1.6511,5,3,2
1400,2,-2.0884,4,-1.5074,4,2,2
1401,2,-2.3905,5,-1.3423,5,2,3
1414,2,-2.0102,5,-1.3375,5,2,3
1418,4,-1.6787,5,-1.3317,5,4,1
1432,2,-1.8288,5,-1.0723,5,2,3
1443,3,-1.3307,4,-1.256,4,3,1
1487,5,-1.9329,2,-1.8235,5,2,3
1504,5,-1.6883,2,-1.0174,5,2,3
