set,n_agree,directions,pct
novel,6,17,0.9413067552602437
novel,5,114,6.312292358803987
novel,4,289,16.00221483942414
novel,3,540,29.900332225913623
novel,2,562,31.118493909191585
novel,1,249,13.787375415282392
novel,0,35,1.937984496124031
literature,6,0,0.0
literature,5,2,4.166666666666667
literature,4,4,8.333333333333334
literature,3,11,22.916666666666668
literature,2,22,45.833333333333336
literature,1,5,10.416666666666666
literature,0,4,8.333333333333334
