gate,model,method,method_id,direction,f_low,f_high,semitones,pct_deviance,trough_uv,n_agree,lit_deepest_uv,margin_uv
s7,wav2vec2-medium,method_1750,1750,regular,1600.0,7611.0,27.0002,375.6875,-2.1037,6,-2.081,-0.0227
s7,wav2vec2-medium,method_1613,1613,regular,951.0,2263.0,15.0086,137.96,-2.103,5,-2.081,-0.022
s7,wav2vec2-medium,method_1798,1798,regular,2075.0,7611.0,22.4997,266.7952,-2.097,5,-2.081,-0.016
s7,wav2vec2-medium,method_1737,1737,regular,1600.0,2468.0,7.5032,54.25,-2.082,5,-2.081,-0.001
s7,wav2vec2-large,method_1740,1740,regular,1600.0,3200.0,12.0,100.0,-8.0532,5,-7.902,-0.1512
s2,whisper-base,method_1750,1750,regular,1600.0,7611.0,27.0002,375.6875,-2.6459,6,-1.3437,-1.3022
s2,whisper-base,method_1042,1042,regular,200.0,7611.0,63.0002,3705.5,-2.3934,5,-1.3437,-1.0496
s2,whisper-base,method_1767,1767,regular,1745.0,7611.0,25.4983,336.1605,-2.3932,4,-1.3437,-1.0495
s2,whisper-base,method_1713,1713,regular,1345.0,7611.0,30.0058,465.8736,-2.3782,4,-1.3437,-1.0345
s2,whisper-base,method_1783,1783,regular,1903.0,7611.0,23.9977,299.9475,-2.2366,5,-1.3437,-0.8929
s2,whisper-base,method_1603,1603,regular,872.0,7611.0,37.5082,772.8211,-2.1658,6,-1.3437,-0.8221
s2,whisper-base,method_1578,1578,regular,800.0,7611.0,39.0002,851.375,-2.1648,5,-1.3437,-0.8212
s2,whisper-base,method_1875,1875,regular,3805.0,7611.0,12.0023,100.0263,-2.1626,5,-1.3437,-0.8189
s2,whisper-base,method_1744,1744,regular,1600.0,4525.0,17.9982,182.8125,-2.0534,5,-1.3437,-0.7097
s2,whisper-base,method_1747,1747,regular,1600.0,5869.0,22.5005,266.8125,-2.0249,5,-1.3437,-0.6812
s2,whisper-base,method_1746,1746,regular,1600.0,5382.0,21.0008,236.375,-1.9727,5,-1.3437,-0.629
s2,whisper-base,method_1749,1749,regular,1600.0,6979.0,25.4994,336.1875,-1.9625,4,-1.3437,-0.6188
s2,whisper-base,method_1745,1745,regular,1600.0,4935.0,19.4997,208.4375,-1.9501,5,-1.3437,-0.6064
s2,whisper-base,method_1324_counter,1324,counter,400.0,1600.0,24.0,300.0,-1.9396,4,-1.3437,-0.5959
s2,whisper-base,method_1798,1798,regular,2075.0,7611.0,22.4997,266.7952,-1.8839,5,-1.3437,-0.5402
s2,whisper-base,method_1323_counter,1323,counter,400.0,1467.0,22.4976,266.75,-1.8758,3,-1.3437,-0.5321
s2,whisper-base,method_1729,1729,regular,1467.0,5869.0,24.003,300.0682,-1.8593,5,-1.3437,-0.5156
s2,whisper-base,method_1727,1727,regular,1467.0,4935.0,21.0022,236.4008,-1.8577,5,-1.3437,-0.514
